272M	2021-05-20
227M	2021-05-21
169M	2021-05-22
165M	2021-05-23
226M	2021-05-24
255M	2021-05-25
179M	2021-05-26
213M	2021-05-27
100M	2021-05-28
152M	2021-05-29
156M	2021-05-30
232M	2021-05-31
138M	2021-06-01
239M	2021-06-02
208M	2021-06-03
163M	2021-06-04
139M	2021-06-05
192M	2021-06-06
256M	2021-06-07
238M	2021-06-08
325M	2021-06-09
275M	2021-06-10
290M	2021-06-11
285M	2021-06-12
277M	2021-06-13
162M	2021-06-14
363M	2021-06-15
297M	2021-06-16
236M	2021-06-17
255M	2021-06-18
143M	2021-06-19
224M	2021-06-20
235M	2021-06-21
191M	2021-06-22
229M	2021-06-23
189M	2021-06-24
169M	2021-06-25
180M	2021-06-26
191M	2021-06-27
220M	2021-06-28
196M	2021-06-29
205M	2021-06-30
160M	2021-07-01
197M	2021-07-02
155M	2021-07-03
237M	2021-07-04
204M	2021-07-05
227M	2021-07-06
208M	2021-07-07
264M	2021-07-08
184M	2021-07-09
168M	2021-07-10
208M	2021-07-11
247M	2021-07-12
238M	2021-07-13
191M	2021-07-14
185M	2021-07-15
315M	2021-07-16
236M	2021-07-17
304M	2021-07-18
324M	2021-07-19
248M	2021-07-20
294M	2021-07-21
255M	2021-07-22
215M	2021-07-23
205M	2021-07-24
214M	2021-07-25
279M	2021-07-26
278M	2021-07-27
284M	2021-07-28
326M	2021-07-29
330M	2021-07-30
209M	2021-07-31
283M	2021-08-01
356M	2021-08-02
316M	2021-08-03
241M	2021-08-04
433M	2021-08-05
28M	2021-08-06
218M	2021-08-07
423M	2021-08-08
429M	2021-08-09
313M	2021-08-10
388M	2021-08-11
616M	2021-08-12
413M	2021-08-13
445M	2021-08-14
550M	2021-08-15
468M	2021-08-16
653M	2021-08-17
634M	2021-08-18
615M	2021-08-19
416M	2021-08-20
309M	2021-08-21
231M	2021-08-22
439M	2021-08-23
373M	2021-08-24
516M	2021-08-25
568M	2021-08-26
461M	2021-08-27
375M	2021-08-28
410M	2021-08-29
463M	2021-08-30
364M	2021-08-31
360M	2021-09-01
394M	2021-09-02
215M	2021-09-03
5.8M	2021-09-04
417M	2021-09-05
376M	2021-09-06
439M	2021-09-07
298M	2021-09-08
300M	2021-09-09
222M	2021-09-10
213M	2021-09-11
360M	2021-09-12
352M	2021-09-13
375M	2021-09-14
298M	2021-09-15
292M	2021-09-16
0	2021-09-17
28M	2021-09-18
185M	2021-09-19
204M	2021-09-20
220M	2021-09-21
253M	2021-09-22
280M	2021-09-23
193M	2021-09-24
169M	2021-09-25
215M	2021-09-26
175M	2021-09-27
183M	2021-09-28
190M	2021-09-29
